Add show,2019-04-20 19:21:35.657
Client bought cinema ticket(s),2019-05-16 17:07:09.608
Client bought cinema ticket(s),2019-05-16 17:14:46.339
Show added,2019-05-16 18:12:57.045
Show added,2019-05-16 18:14:50.139
Delete show,2019-05-18 18:08:19.644
Show added,2019-05-18 18:13:15.132
Client bought cinema ticket(s),2019-05-18 18:27:45.805
Show added,2019-05-19 21:45:19.338,main
Client searched for a show,2019-05-19 21:47:00.663,main
Client bought cinema ticket(s),2019-05-22 13:21:49.848,main
Client bought cinema ticket(s),2019-05-22 14:50:36.246,main
Show added,2019-05-22 16:05:48.371,main
Show added,2019-05-22 16:20:33.967,main
Show added,2019-05-22 16:23:09.073,main
Show added,2019-05-22 16:24:21.971,main
Show added,2019-05-22 16:27:12.825,main
Show added,2019-05-22 16:31:02.67,main
Client searched for a show,2019-05-22 17:14:47.276,main
Client searched for a show,2019-05-22 17:22:09.945,main
Client searched for a show,2019-05-22 17:22:30.807,main
Client searched for a show,2019-05-22 22:56:22.703,main
Client searched for a show,2019-05-22 22:56:45.418,main
Show added,2019-05-22 23:05:56.323,main
Show added,2019-05-22 23:55:52.703,main
Client searched for a show,2019-05-23 00:03:46.988,main
Deleted one show,2019-05-23 00:04:50.284,main
Deleted one show,2019-05-23 00:06:58.435,main
Deleted one show,2019-05-23 00:08:20.721,main
Client bought cinema ticket(s),2019-05-24 10:06:37.013,main
Show added,2019-05-24 11:23:26.935,main
Client bought cinema ticket(s),2019-05-24 11:25:54.754,main
Client bought cinema ticket(s),2019-05-24 11:28:54.067,main
